Url,Address,ReferenceNumber,Validateddate,Status,Proposal
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=CM/55/20/PL&from=planningSearch,Scyld Horsemere Green Lane Climping  BN17 5QZ,CM/55/20/PL,23-12-20,Undecided     ,Variation of condition 2-plans condition imposed under CM/21/19/PL to omit the detached garage serving units 5 and 6 and provide these two units with an attached garage allowing a sewer diversion to run between the units ensuring a 3m easement either side of the sewer in accordance with Southern Water requirements.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/103/20/HH&from=planningSearch,Ancton Barn Ancton Lane Middleton-On-Sea  PO22 6NJ,M/103/20/HH,23-02-21,Undecided     ,"Enlargement of existing Northeast wing, alteration to barn entrances and addition of opening and fixed glazed roof lights to the existing barn."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/105/20/HH&from=planningSearch,22 Tudor Close Middleton-On-Sea   PO22 6DN,M/105/20/HH,04-01-21,Refused     ,"Removal of existing roof structure, new first floor accommodation and pitched roof above and replacement rear single storey extension."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/363/20/T&from=planningSearch,1 Balmoral Close Aldwick   PO21 4PP,AW/363/20/T,21-12-20,ApproveConditionally     ,1 No. Lime tree (T1) reduce height to approx. 13m and spread approx. 9m.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/155/20/EIS&from=planningSearch,Land North of Barnham Road Eastergate   ,BN/155/20/EIS,21-12-20,Scoping Issued     ,Scoping opinion for up to 600 residential dwellings and care home.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/156/20/DOC&from=planningSearch,Land at Angels Nursery Yapton Road Barnham  PO22 0AY,BN/156/20/DOC,22-12-20,DOC Approved     ,Approval of details reserved by condition imposed under ref BN/84/20/PL relating to Condition No 22 - Construction Management Plan.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/243/20/HH&from=planningSearch,7 Homefield Avenue Felpham   PO22 6AN,FP/243/20/HH,04-01-21,ApproveConditionally     ,Extension to existing roof including part conversion of roof from hip to gable end and alterations to fenestration
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/350/20/PL&from=planningSearch,215 Timberleys Littlehampton   BN17 6QD,LU/350/20/PL,13-01-21,Undecided     ,Erection of 1 No new dwellinghouse.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/351/20/HH&from=planningSearch,17 Peregrine Road Littlehampton   BN17 6DT,LU/351/20/HH,23-12-20,Refused     ,Erection of a new garage
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/100/20/A&from=planningSearch,9 Elmer Road Middleton-On-Sea   PO22 6DZ,M/100/20/A,08-01-21,Undecided     ,1 No. Illuminated fascia sign
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/102/20/HH&from=planningSearch,17 Old Point Middleton-On-Sea   PO22 7RY,M/102/20/HH,05-01-21,Undecided     ,"Single storey front infill extension, single storey side/rear extension and conversion of roofspace to habitable use to include a rear dormer, 7 x side rooflights and balcony to front"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/132/20/RES&from=planningSearch,Land north of Hook Lane Pagham   ,P/132/20/RES,08-01-21,Undecided     ,"Approval of reserved matters following P/30/19/OUT for 300 No. new homes, internal roads, footpaths & cycleways, car parking & landscaping. This application affects the setting of a listed building & falls within Strategic Site H SP2, CIL Zone 1  (Zero Rated)."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/258/20/HH&from=planningSearch,42 Tennyson Avenue Rustington   BN16 2PH,R/258/20/HH,19-01-21,Undecided     ,Single storey rear extension
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/303/20/NMA&from=planningSearch,3 Gordon Avenue West Bognor Regis   PO22 9LQ,BR/303/20/NMA,23-12-20,Approve     ,Non-material amendment following grant of BR/116/20/HH to change the window position and reduce the number of windows on the proposed side elevation and change window on front elevation from three frames to two frames.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/360/20/T&from=planningSearch,27 The Drive Aldwick Bognor Regis  PO21 4DU,AW/360/20/T,18-12-20,ApproveConditionally     ,Fell 1 No. Eucalyptus tree
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/153/20/PL&from=planningSearch,Warwick Nursery Barnham Road Eastergate Barnham PO203RT,BN/153/20/PL,13-01-21,Undecided     ,"44 No. dwellings & associated infrastructure. This site falls within the BEW Strategic Site, CIL Zone 1 (Zero Rated)."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/154/20/HH&from=planningSearch,Russet Cottage Highground Orchard Highground Lane Barnham PO22 0BT,BN/154/20/HH,04-01-21,ApproveConditionally     ,Detached outbuilding to form habitable accommodation
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/160/20/PL&from=planningSearch,16 Worthing Road East Preston   BN16 1AZ,EP/160/20/PL,04-01-21,ApproveConditionally     ,"Variation of condition 2-plans condition, imposed under EP/121/17/PL relating to proposed floor plans, elevations & site plan."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/241/20/HH&from=planningSearch,32 Links Avenue Felpham   PO22 7BX,FP/241/20/HH,04-01-21,ApproveConditionally     ,Side dormer projection to existing first floor
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/242/20/HH&from=planningSearch,11 Sea Drive Felpham   PO22 7NE,FP/242/20/HH,24-12-20,ApproveConditionally     ,Front single storey extension with balcony over and conversion of garage.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/147/20/DOC&from=planningSearch,Land of Burndell Road Yapton   ,Y/147/20/DOC,04-01-21,DOC Part Approved     ,Approval of details reserved by condition imposed under ref APP/C3810/V/16/3158261 (Y/19/16/OUT) relating to Condition Nos 5 - surface water drainage and 6 - foul drainage system
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/98/20/DOC&from=planningSearch,2 Aldingbourne Nurseries Church Road Aldingbourne  PO20 3TU,AL/98/20/DOC,18-12-20,DOC Approved     ,Approval of details reserved by condition imposed under ref AL/61/20/PL relating to Condition No 4 - external lighting
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/302/20/PL&from=planningSearch,3 York Road Bognor Regis   PO21 1LW,BR/302/20/PL,07-01-21,ApproveConditionally     ,Change of use from shop (Class E)  to nail salon (Sui Generis).This site is in CIL Zone 4 (Zero Rated) as other development.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/169/20/T&from=planningSearch,41 Ferringham Lane Ferring   BN12 5NB,FG/169/20/T,22-12-20,ApproveConditionally     ,Reduction of branch to North Face of Ilex Oak (T1) to 3m and raise crown to 4m above ground level. Removal of dead wood.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/171/20/HH&from=planningSearch,40 Midhurst Drive Ferring   BN12 5BQ,FG/171/20/HH,21-12-20,ApproveConditionally     ,Front extension to garage
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/349/20/HH&from=planningSearch,32 &33 Mariners Quay Littlehampton   BN17 5DA,LU/349/20/HH,05-01-21,Withdrawn     ,Extension of rear balconies. This application affects the character & appearance of the Littlehampton (River Road) Conservation Area.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/146/20/RES&from=planningSearch,Land at Street Buildings North End Road Yapton  BN18 0DT,Y/146/20/RES,17-12-20,Undecided     ,Application for approval of reserved matters for the erection of 45 dwellings pursuant to Section 73 permission Y/13/18/PL (following the grant of outline planning permission Y/49/17/OUT) (resubmission following Y/39/20/RES). This application may affect the setting of a Listed Building.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/97/20/CLP&from=planningSearch,15 Ivy Close Westergate Aldingbourne  PO20 3RF,AL/97/20/CLP,17-12-20,PP Required     ,Lawful development certificate for a Proposed rear single storey extension
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/153/20/NMA&from=planningSearch,Rookery Park Land west of New Barn Lane Bersted  PO21 5DN,BE/153/20/NMA,16-12-20,Approve     ,Non-Material amendment following grant of BE/103/19/RES for amendment to landscaping.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/152/20/PL&from=planningSearch,Land adjacent to 49 Warren Way Barnham   PO22 0JX,BN/152/20/PL,06-01-21,Undecided     ,1 No end of terrace two storey dwelling (resubmission following BN/15/20/PL). This site in in CIL Zone 2 and is CIL Liable as new dwelling.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/170/20/T&from=planningSearch,Verge opposite 18a Ocean Drive The Poplars Ferring  BN12 5GJ,FG/170/20/T,12-01-21,Undecided     ,Various works to 6 No. Austrian Pine trees.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/99/20/DEM&from=planningSearch,18 Old Point Middleton on Sea   PO22 6RY,M/99/20/DEM,21-12-20,No Objection     ,Demolition of existing dwelling house & replacement with new dwelling house.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/128/20/DOC&from=planningSearch,Land North of Sefter Road & 80 Rose Green Road Pagham Bognor Regis  ,P/128/20/DOC,16-12-20,DOC Part Approved     ,Approval of details reserved by condition imposed under ref P/134/16/OUT relating to Condition No 9 - Arboricultural Method Statement
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/131/20/HH&from=planningSearch,27 Swandene Pagham   PO21 4UP,P/131/20/HH,22-12-20,ApproveConditionally     ,"Small front and rear extension together with conversion of part of the garage to to accommodate, bedroom, wet room, and utility space maintaining access to rear garden area."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/95/20/TC&from=planningSearch,28 Church Road Aldingbourne   PO20 3TT,AL/95/20/TC,29-12-20,No Objection     ,"Silver Birch (T1) - Cut back extension limbs to 5m (N, S &E) and to 3m (W)  to viable growth points.  Finished height 8.5m.
Weeping Willow (T2) - Reduce crown back to previous pruning points by 3m.
Crack Willow (T3) - Re-pollard to 3m."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/96/20/HH&from=planningSearch,10 Woodgate Close Woodgate Aldingbourne  PO20 3TA,AL/96/20/HH,15-12-20,ApproveConditionally     ,Installation of front facing roof lights
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/359/20/PL&from=planningSearch,Co-op Supermarket 2 Nyetimber Lane Aldwick  PO21 3HG,AW/359/20/PL,18-01-21,Undecided     ,"Introduction of one way system & marked parking bays to the existing parking area, new armco barrier to protect shopfront, new mechanical plant at rear of store with key-klamp protection & alterations to existing timber store which include new secure metal door & new felt roof to replace existing polycarboante roof covering. This site is in CIL Zone 4 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/152/20/TC&from=planningSearch,Broome House North Bersted Street Bersted  PO22 9AH,BE/152/20/TC,15-12-20,No Objection     ,"Silver Birch (Betula pendula) (T1):
Fell this tree to ground level.  
Honey Locust (Gleditsia triacanthos) (T2):
Fell this tree down to ground level."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/298/20/PL&from=planningSearch,25 Sudley Road Bognor Regis   PO21 1EW,BR/298/20/PL,04-01-21,Undecided     ,"New 2 storey extension on first floor with loft floor including 8 (4 front & 4 rear) dormer windows), first floor rear extension (mansard floor) with 8 No roof windows, alterations to ground floor shopfront and new access to upper floor into use for 10  residential units (5 No 1-bed & 5 No 2-bed) (resubmission following BR/196/20/PL). This application may affect the setting of a listed building & the site is in CIL Zone 4 (Zero Rated) as flats."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/157/20/HH&from=planningSearch,29 Tamarisk Way East Preston   BN16 2TE,EP/157/20/HH,15-12-20,ApproveConditionally     ,Demolition of part of existing garage and outbuildings. Erection of new 3 bay garage. Extensions and internal and external remodelling of existing dwelling including change from thatch to clay tiled roof.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/344/20/L&from=planningSearch,9 South Terrace Littlehampton   BN17 5NZ,LU/344/20/L,15-12-20,ApproveConditionally     ,"Listed building consent to appropriately strengthen & repair the building fundamental structural fabric, prior to the reinstatement of approved finishes permitted under application reference number LU/104/20/L."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/100/20/DOC&from=planningSearch,Land To East Of Fontwell Racecourse Fontwell Avenue Eastergate  BN18 0SW,WA/100/20/DOC,15-12-20,Undecided     ,"Approval of details reserved by condition imposed under APP/C3810/V/16/3143095 (WA/22/15/OUT) relating to Condition Nos 9 - Public Open Spaces, 10 - hard & soft Landscaping, 11 - protection of retained trees, 19 - Construction Management Plan, 22 - decentralised & renewable energy, 25 - Travel Plan and 26 - Non-Motorised User Audit."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/99/20/DOC&from=planningSearch,Land To East Of Fontwell Racecourse Fontwell Avenue Eastergate  BN18 0SW,WA/99/20/DOC,05-01-21,Undecided     ,"Approval of details reserved by condition imposed under ref APP/C3810/V/16/3143095 (WA/22/15/OUT) relating to Condition Nos 6 - materials and finishes, 12 - surface water drainage, 13 - infiltration of surface water drainage, 14 - maintenance & management of SuDs, 15 - foul drainage and 27 - emergency access from site onto Arundel Road."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/145/20/DOC&from=planningSearch,Land North of Yapton C of E Primary School North End Road Yapton  ,Y/145/20/DOC,16-12-20,DOC Approved     ,"Approval of details reserved by condition imposed under ref Y/88/18/OUT relating to Condition Nos 6 - Construction & Environmental Management Plan, 7 - archaeological work, 12 - charging of electric vehicles, 14 - car parking, 15 - cycle parking, 16 - Travel Plan and 19 - decentralised & renewable energy"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AB/138/20/CLP&from=planningSearch,2 Stewards Rise Arundel   BN18 9ER,AB/138/20/CLP,15-12-20,PP Not Required     ,Lawful development certificate for a proposed single storey side extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/357/20/HH&from=planningSearch,Land Between 8 And 12 10 Wychwood Close Aldwick  PO21 4DW,AW/357/20/HH,17-12-20,ApproveConditionally     ,Outbuilding in rear garden. (This application may affect the setting of the Craigwell Conservation Area.)
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/358/20/TC&from=planningSearch,35 The Drive Bognor Regis   PO21 4DT,AW/358/20/TC,14-12-20,No Objection     ,Crown Reduction of 3No. Holm Oak trees by 2m to a proposed height of 17.5 m and spread of 6.5m.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/149/20/PL&from=planningSearch,339 Chichester Road Bersted   PO21 5AN,BE/149/20/PL,07-01-21,Undecided     ,Replacement of blockwork boundary wall with fence & new vehicular access. This site is in CIL Zone 4 (Zero Rated) as other development.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/151/20/NMA&from=planningSearch,Beech Cottage 99A North Bersted Street Bersted  PO22 9AF,BE/151/20/NMA,15-12-20,Approve     ,Non material amendment following grant of BE/114/20/PL to change permitted dormer windows from gabled to hipped.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/151/20/PL&from=planningSearch,Land at rear of Poachers Eastergate Lane Eastergate  PO20 3SJ,BN/151/20/PL,14-12-20,Undecided     ,Erection of 1 No. 4 bedroom detached dwelling with detached carport (resubmission following BN/46/20/PL). This site is in CIL Zone 3 & is CIL Liable as new dwelling & is a Departure from the Development Plan.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/156/20/PL&from=planningSearch,Land adjacent to Warren Recreation Ground Car Park Sea Road East Preston  BN16 1JP,EP/156/20/PL,16-12-20,Withdrawn     ,"Installation of 4 No solar power operated lights, attached to four 5mtr galvanised steel columns. This site is in CIL Zone 4 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/341/20/L&from=planningSearch,3 Western Road Littlehampton   BN17 5NP,LU/341/20/L,14-12-20,ApproveConditionally     ,"Listed building consent for the repointing of sides & rear brickwork, glazed link between existing outbuildings, loss of wall & opening up of existing kitchen unit & removal of ground floor section of chimney stack."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/150/20/PL&from=planningSearch,Land at Chantry Mead & Rear of 14 -18 Downview Road Barnham  PO22 0EG,BN/150/20/PL,04-02-21,Undecided     ,"3 No dwellings including access, landscaping & associated works (resubmission following BN/51/20/PL). This site is in CIL Zone 2 and is CIL Liable as new dwellings."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=CM/54/20/DOC&from=planningSearch,Mistletoe Farm Horsemere Green Lane Climping  BN17 5QZ,CM/54/20/DOC,15-12-20,DOC Approved     ,Approval of details reserved by condition imposed under CM/37/18/OUT relating to condition 7-Arboricultural Method Statement & Tree Protection Plan.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/166/20/HH&from=planningSearch,5 Ferringham Way Ferring   BN12 5NG,FG/166/20/HH,18-12-20,ApproveConditionally     ,Creation of 2 habitable rooms in existing garage and remodelling of GF bedroom to accessible bathroom to accommodate dependent family member. Extension and remodelling of existing rear conservatory to accommodate kitchen and store room. Erection of timber clad storage container/ outhouse on front drive.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/240/20/HH&from=planningSearch,52 Glynde Crescent Felpham   PO22 8HT,FP/240/20/HH,18-12-20,ApproveConditionally     ,"Proposed single storey extension, and new first floor dormer."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/337/20/PO&from=planningSearch,Hampton Park Toddington Lane Littlehampton  ,LU/337/20/PO,11-12-20,Undecided     ,Application for the modification of obligations on the Section 106 Agreement dated 23/1/13 (as amended) linked to LU/47/11 (as amended) - To extend the triggers for provision of the 'Southern By Pass and Bridge Works' from the occupation of the 350th dwelling to the 450th dwelling and to amend the definition of 'The Fitzalan link Stage 2' to include the A259 Roundabout.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/342/20/HH&from=planningSearch,Vine Cottage 1 Church Street Littlehampton  BN17 5EL,LU/342/20/HH,22-12-20,ApproveConditionally     ,"Conversion of existing dairy building into a new kitchen, internal alterations, a replacement carport and replacement garden fencing"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/343/20/L&from=planningSearch,Vine Cottage 1 Church Street Littlehampton  BN17 5EL,LU/343/20/L,22-12-20,ApproveConditionally     ,"Listed building consent for the conversion of existing dairy building into a new kitchen, internal alterations, a replacement carport and replacement garden fencing"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/126/20/CLP&from=planningSearch,4 Ledbury Way Pagham   PO21 3JP,P/126/20/CLP,14-12-20,PP Not Required     ,Lawful development certificate for the Proposed conversion of an existing integral single garage into a new en-suite and breakfast room
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/97/20/HH&from=planningSearch,4 Barnfield Cottages Arundel Road Fontwell Walberton BN18 0SE,WA/97/20/HH,11-12-20,ApproveConditionally     ,Single storey rear extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AB/137/20/HH&from=planningSearch,14 Queens Lane Arundel   BN18 9JN,AB/137/20/HH,05-02-21,Undecided     ,Proposed 2 storey front extension and loft conversion
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/149/20/DOC&from=planningSearch,Land At Angels Nursery Yapton Road Barnham  PO22 0AY,BN/149/20/DOC,11-12-20,DOC Approved     ,Approval of details reserved by condition imposed under BN/97/20/PL relating to condition 7-tree & shrub details & proposed maintenance measures.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=K/57/20/CLP&from=planningSearch,Flint Barn Peak Lane Kingston  BN16 1RN,K/57/20/CLP,16-12-20,PP Required     ,Certificate of lawful development for the proposed change of use from hobby room to 1 No dwelling.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/338/20/T&from=planningSearch,3 Butts Mead Wick Littlehampton  BN17 6GP,LU/338/20/T,10-12-20,ApproveConditionally     ,"Reduction of 1 No. Beech (T1) to 10m high and radial spread on Southern canopy to 3m.
Reduction of 1 No. Beech (T2) to 10m high and radial spread on Southern canopy to 3m."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/339/20/NMA&from=planningSearch,"Plot 121, Phase 2 Land North of Toddington Lane Littlehampton  BN17 7PP",LU/339/20/NMA,11-12-20,Approve     ,Non material amendment following the grant of LU/121/17/RES for alterations to approved door positions.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/353/20/OUT&from=planningSearch,Land adjacent to 1 Cambridge Walk Aldwick   PO21 5RL,AW/353/20/OUT,06-02-21,Undecided     ,Outline application with some matters reserved for 1 No. new dwelling.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/148/20/OUT&from=planningSearch,Nursery Fields Land to the North of Chalcraft Lane West Bersted  PO21 5TS,BE/148/20/OUT,09-12-20,Undecided     ,"Outline application with all matters, except for site access, reserved for the development of up to 225 residential units with associated infrastructure, open space and vehicular and pedestrian access. This application affects a Public Right of Way."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=K/58/20/HH&from=planningSearch,Moorings Gorse Avenue East Preston  BN16 1SQ,K/58/20/HH,09-12-20,ApproveConditionally     ,"Alterations to side hipped roof to new sussex barn half hipped roof and widen existing front dormer windows, alterations to rear roof elevation from hipped to gable end and addition of matching ground floor bay window to rear"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/336/20/DOC&from=planningSearch,46a-47b Pier Road Littlehampton   ,LU/336/20/DOC,22-12-20,DOC Part Approved     ,Approval of details reserved by condition imposed under LU/287/17/PL relating to Condition Nos 12 - materials and finishes and 18 - contamination.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/97/20/HH&from=planningSearch,10 Lodge Close Ancton Middleton-On-Sea  PO22 6NF,M/97/20/HH,18-12-20,ApproveConditionally     ,Conversion of existing garage to habitable room and lifting of flat to accommodate headroom.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AB/135/20/OUT&from=planningSearch,Land at Ford Road Arundel   ,AB/135/20/OUT,14-12-20,Undecided     ,Outline application with some matters reserved (except for access) for the development of 90 dwellings & associated amenity land. This application affects the setting of listed buildings & affects the character & appearance of the Arundel Conservation Area.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/295/20/HH&from=planningSearch,188 Aldwick Road Bognor Regis   PO21 5UQ,BR/295/20/HH,08-12-20,ApproveConditionally     ,"2 storey front extension, part 2 storey part single storey side extension, single storey rear extension & conversion of roofspace to habitable use (alternative following BR/84/20/HH)."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=F/25/20/AG&from=planningSearch,Northwood Farm Burndell Road Clymping  BN18 0HR,F/25/20/AG,08-12-20,No Objection     ,Application for Prior Notification for an open storage lean-to
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/335/20/CLE&from=planningSearch,Land at Littlehampton Marina Ferry Road Littlehampton  BN17 5DS,LU/335/20/CLE,08-12-20,Approve     ,Certificate of lawfulness for existing storage of touring caravans & motorhomes
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/251/20/HH&from=planningSearch,Palm Cottage 62 Ash Lane Rustington  BN16 3BT,R/251/20/HH,08-12-20,ApproveConditionally     ,Proposed orangery and utility to rear of dwelling. This application affects the setting of a Listed Building.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/252/20/L&from=planningSearch,Palm Cottage 62 Ash Lane Rustington  BN16 3BT,R/252/20/L,17-12-20,ApproveConditionally     ,Listed Building consent for orangery and utility to rear of existing dwelling.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/143/20/PO&from=planningSearch,Bohnams Field Main Road Yapton  BN18 0DX,Y/143/20/PO,11-12-20,Approve     ,"Application to Modify Planning Obligation dated 30/8/17 linked to Y/1/17/OUT by removal of the 'Play Area' and 'Play Area Specification' sections of the interpretation section and deletion of Schedule1, clause 3 'Play Areas'."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/146/20/DOC&from=planningSearch,Lidl Store Shripney Road Bognor Regis  PO22 9NN,BE/146/20/DOC,07-12-20,DOC Approved     ,Approval of details reserved by condition imposed under BE/126/19/PL relating to condition 19-Employment and Skills Plan.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/147/20/HH&from=planningSearch,Hazel Dean Charnwood Road Bersted  PO22 9DU,BE/147/20/HH,18-12-20,ApproveConditionally     ,Single storey side extension including demolition of existing sunroom
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/150/20/TC&from=planningSearch,Liseve Lodge 84 North Bersted Street Bersted  PO22 9AQ,BE/150/20/TC,07-12-20,No Objection     ,Fell 2 No. Sycamore trees within the North Bersted Conservation area.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/294/20/HH&from=planningSearch,33 Marshall Avenue Bognor Regis   PO21 2TL,BR/294/20/HH,14-12-20,ApproveConditionally     ,Single storey side extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/95/20/HH&from=planningSearch,38 Norfolk Way Elmer   PO22 6JF,M/95/20/HH,09-12-20,ApproveConditionally     ,First floor rear extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/142/20/DOC&from=planningSearch,The Steddles North End Road Yapton  BN18 0DT,Y/142/20/DOC,07-12-20,DOC Refused     ,Approval of details reserved by condition imposed under Y/121/19/PL relating to conditions 10- surface water drainage scheme & 11-maintenance & management of surface water drainage system.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/354/20/T&from=planningSearch,4 The Spinney Aldwick   PO21 3RL,AW/354/20/T,15-02-21,Undecided     ,"To reduce 3 No. Maple Trees (T2) lateral branches to 6.5m, which are overhanging garage by 1.5 metres.
To reduce 1 No. Oak Tree (T1)lateral branches to 7m spread."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/195/20/PL&from=planningSearch,St Margarets C Of E School Arundel Road Angmering  BN16 4LP,A/195/20/PL,08-12-20,ApproveConditionally     ,"Extension to form a secure lobby to the schools main entrance, along with associated internal alterations. This site is in CIL Zone 2 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/349/20/HH&from=planningSearch,3 Gilwynes Aldwick   PO21 3SG,AW/349/20/HH,04-01-21,ApproveConditionally     ,Part two storey part single storey rear extension
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/293/20/DOC&from=planningSearch,The Royal Hotel The Esplanade Bognor Regis  PO21 1SZ,BR/293/20/DOC,07-12-20,DOC Part Approved     ,"Approval of details reserved by condition imposed under BR/257/19/PL relating to conditions 4-details of balcony railings, 5-covered & secure cycle storage spaces & 6-Travel Plan."
